de79cb8b1ceb4fe289a6fafbd38303bd,333
a0c43a41e184414a9366cc503c908b98,258
5aea83d9be034f78bc52823a37a1b663,206
506f7c019423422a930154cd928f78fd,179
973bac2b44df43e8b9e5cc05869aab51,120
41fdc3bbf1a1439a96280c0f5fc3b1a6,114
84c7bcd849184369b8e0c46e871529f3,112
f96811ceeddb48eca0c6c95780325793,106
c5b7c9ae207d485eac38846bd26a84cb,100
13341ff041494679a9ae56a046b86319,100
7693da42f6cb4207b835b19adc3f5cfc,95
695d1d41fabb49c1a6d3744202df58ab,79
5708f141ba4f44e78b2b0c517cdf0186,75
ed40b0a1b6ac4e1fb06203bc96546cf6,60
d13f3a739a084da8b8501aa012b14408,50
